Index,Pop/GDP,Ind/Trans/Building,AGLU,Energy,CCS,Fossil Fuels,LT Tax
0,0,0,0,0,0,0,Low
1,1,0,0,0,0,0,Low
2,2,0,0,0,0,0,Low
3,3,0,0,0,0,0,Low
4,4,0,0,0,0,0,Low
5,0,1,0,0,0,0,Low
6,1,1,0,0,0,0,Low
7,2,1,0,0,0,0,Low
8,3,1,0,0,0,0,Low
9,4,1,0,0,0,0,Low
10,0,2,0,0,0,0,Low
11,1,2,0,0,0,0,Low
12,2,2,0,0,0,0,Low
13,3,2,0,0,0,0,Low
14,4,2,0,0,0,0,Low
15,0,3,0,0,0,0,Low
16,1,3,0,0,0,0,Low
17,2,3,0,0,0,0,Low
18,3,3,0,0,0,0,Low
19,4,3,0,0,0,0,Low
20,0,4,0,0,0,0,Low
21,1,4,0,0,0,0,Low
22,2,4,0,0,0,0,Low
23,3,4,0,0,0,0,Low
24,4,4,0,0,0,0,Low
25,0,0,1,0,0,0,Low
26,1,0,1,0,0,0,Low
27,2,0,1,0,0,0,Low
28,3,0,1,0,0,0,Low
29,4,0,1,0,0,0,Low
30,0,1,1,0,0,0,Low
31,1,1,1,0,0,0,Low
32,2,1,1,0,0,0,Low
33,3,1,1,0,0,0,Low
34,4,1,1,0,0,0,Low
35,0,2,1,0,0,0,Low
36,1,2,1,0,0,0,Low
37,2,2,1,0,0,0,Low
38,3,2,1,0,0,0,Low
39,4,2,1,0,0,0,Low
40,0,3,1,0,0,0,Low
41,1,3,1,0,0,0,Low
42,2,3,1,0,0,0,Low
43,3,3,1,0,0,0,Low
44,4,3,1,0,0,0,Low
45,0,4,1,0,0,0,Low
46,1,4,1,0,0,0,Low
47,2,4,1,0,0,0,Low
48,3,4,1,0,0,0,Low
49,4,4,1,0,0,0,Low
50,0,0,2,0,0,0,Low
51,1,0,2,0,0,0,Low
52,2,0,2,0,0,0,Low
53,3,0,2,0,0,0,Low
54,4,0,2,0,0,0,Low
55,0,1,2,0,0,0,Low
56,1,1,2,0,0,0,Low
57,2,1,2,0,0,0,Low
58,3,1,2,0,0,0,Low
59,4,1,2,0,0,0,Low
60,0,2,2,0,0,0,Low
61,1,2,2,0,0,0,Low
62,2,2,2,0,0,0,Low
63,3,2,2,0,0,0,Low
64,4,2,2,0,0,0,Low
65,0,3,2,0,0,0,Low
66,1,3,2,0,0,0,Low
67,2,3,2,0,0,0,Low
68,3,3,2,0,0,0,Low
69,4,3,2,0,0,0,Low
70,0,4,2,0,0,0,Low
71,1,4,2,0,0,0,Low
72,2,4,2,0,0,0,Low
73,3,4,2,0,0,0,Low
74,4,4,2,0,0,0,Low
75,0,0,3,0,0,0,Low
76,1,0,3,0,0,0,Low
77,2,0,3,0,0,0,Low
78,3,0,3,0,0,0,Low
79,4,0,3,0,0,0,Low
80,0,1,3,0,0,0,Low
81,1,1,3,0,0,0,Low
82,2,1,3,0,0,0,Low
83,3,1,3,0,0,0,Low
84,4,1,3,0,0,0,Low
85,0,2,3,0,0,0,Low
86,1,2,3,0,0,0,Low
87,2,2,3,0,0,0,Low
88,3,2,3,0,0,0,Low
89,4,2,3,0,0,0,Low
90,0,3,3,0,0,0,Low
91,1,3,3,0,0,0,Low
92,2,3,3,0,0,0,Low
93,3,3,3,0,0,0,Low
94,4,3,3,0,0,0,Low
95,0,4,3,0,0,0,Low
96,1,4,3,0,0,0,Low
97,2,4,3,0,0,0,Low
98,3,4,3,0,0,0,Low
99,4,4,3,0,0,0,Low
100,0,0,4,0,0,0,Low
101,1,0,4,0,0,0,Low
102,2,0,4,0,0,0,Low
103,3,0,4,0,0,0,Low
104,4,0,4,0,0,0,Low
105,0,1,4,0,0,0,Low
106,1,1,4,0,0,0,Low
107,2,1,4,0,0,0,Low
108,3,1,4,0,0,0,Low
109,4,1,4,0,0,0,Low
110,0,2,4,0,0,0,Low
111,1,2,4,0,0,0,Low
112,2,2,4,0,0,0,Low
113,3,2,4,0,0,0,Low
114,4,2,4,0,0,0,Low
115,0,3,4,0,0,0,Low
116,1,3,4,0,0,0,Low
117,2,3,4,0,0,0,Low
118,3,3,4,0,0,0,Low
119,4,3,4,0,0,0,Low
120,0,4,4,0,0,0,Low
121,1,4,4,0,0,0,Low
122,2,4,4,0,0,0,Low
123,3,4,4,0,0,0,Low
124,4,4,4,0,0,0,Low
125,0,0,0,1,0,0,Low
126,1,0,0,1,0,0,Low
127,2,0,0,1,0,0,Low
128,3,0,0,1,0,0,Low
129,4,0,0,1,0,0,Low
130,0,1,0,1,0,0,Low
131,1,1,0,1,0,0,Low
132,2,1,0,1,0,0,Low
133,3,1,0,1,0,0,Low
134,4,1,0,1,0,0,Low
135,0,2,0,1,0,0,Low
136,1,2,0,1,0,0,Low
137,2,2,0,1,0,0,Low
138,3,2,0,1,0,0,Low
139,4,2,0,1,0,0,Low
140,0,3,0,1,0,0,Low
141,1,3,0,1,0,0,Low
142,2,3,0,1,0,0,Low
143,3,3,0,1,0,0,Low
144,4,3,0,1,0,0,Low
145,0,4,0,1,0,0,Low
146,1,4,0,1,0,0,Low
147,2,4,0,1,0,0,Low
148,3,4,0,1,0,0,Low
149,4,4,0,1,0,0,Low
150,0,0,1,1,0,0,Low
151,1,0,1,1,0,0,Low
152,2,0,1,1,0,0,Low
153,3,0,1,1,0,0,Low
154,4,0,1,1,0,0,Low
155,0,1,1,1,0,0,Low
156,1,1,1,1,0,0,Low
157,2,1,1,1,0,0,Low
158,3,1,1,1,0,0,Low
159,4,1,1,1,0,0,Low
160,0,2,1,1,0,0,Low
161,1,2,1,1,0,0,Low
162,2,2,1,1,0,0,Low
163,3,2,1,1,0,0,Low
164,4,2,1,1,0,0,Low
165,0,3,1,1,0,0,Low
166,1,3,1,1,0,0,Low
167,2,3,1,1,0,0,Low
168,3,3,1,1,0,0,Low
169,4,3,1,1,0,0,Low
170,0,4,1,1,0,0,Low
171,1,4,1,1,0,0,Low
172,2,4,1,1,0,0,Low
173,3,4,1,1,0,0,Low
174,4,4,1,1,0,0,Low
175,0,0,2,1,0,0,Low
176,1,0,2,1,0,0,Low
177,2,0,2,1,0,0,Low
178,3,0,2,1,0,0,Low
179,4,0,2,1,0,0,Low
180,0,1,2,1,0,0,Low
181,1,1,2,1,0,0,Low
182,2,1,2,1,0,0,Low
183,3,1,2,1,0,0,Low
184,4,1,2,1,0,0,Low
185,0,2,2,1,0,0,Low
186,1,2,2,1,0,0,Low
187,2,2,2,1,0,0,Low
188,3,2,2,1,0,0,Low
189,4,2,2,1,0,0,Low
190,0,3,2,1,0,0,Low
191,1,3,2,1,0,0,Low
192,2,3,2,1,0,0,Low
193,3,3,2,1,0,0,Low
194,4,3,2,1,0,0,Low
195,0,4,2,1,0,0,Low
196,1,4,2,1,0,0,Low
197,2,4,2,1,0,0,Low
198,3,4,2,1,0,0,Low
199,4,4,2,1,0,0,Low
200,0,0,3,1,0,0,Low
201,1,0,3,1,0,0,Low
202,2,0,3,1,0,0,Low
203,3,0,3,1,0,0,Low
204,4,0,3,1,0,0,Low
205,0,1,3,1,0,0,Low
206,1,1,3,1,0,0,Low
207,2,1,3,1,0,0,Low
208,3,1,3,1,0,0,Low
209,4,1,3,1,0,0,Low
210,0,2,3,1,0,0,Low
211,1,2,3,1,0,0,Low
212,2,2,3,1,0,0,Low
213,3,2,3,1,0,0,Low
214,4,2,3,1,0,0,Low
215,0,3,3,1,0,0,Low
216,1,3,3,1,0,0,Low
217,2,3,3,1,0,0,Low
218,3,3,3,1,0,0,Low
219,4,3,3,1,0,0,Low
220,0,4,3,1,0,0,Low
221,1,4,3,1,0,0,Low
222,2,4,3,1,0,0,Low
223,3,4,3,1,0,0,Low
224,4,4,3,1,0,0,Low
225,0,0,4,1,0,0,Low
226,1,0,4,1,0,0,Low
227,2,0,4,1,0,0,Low
228,3,0,4,1,0,0,Low
229,4,0,4,1,0,0,Low
230,0,1,4,1,0,0,Low
231,1,1,4,1,0,0,Low
232,2,1,4,1,0,0,Low
233,3,1,4,1,0,0,Low
234,4,1,4,1,0,0,Low
235,0,2,4,1,0,0,Low
236,1,2,4,1,0,0,Low
237,2,2,4,1,0,0,Low
238,3,2,4,1,0,0,Low
239,4,2,4,1,0,0,Low
240,0,3,4,1,0,0,Low
241,1,3,4,1,0,0,Low
242,2,3,4,1,0,0,Low
243,3,3,4,1,0,0,Low
244,4,3,4,1,0,0,Low
245,0,4,4,1,0,0,Low
246,1,4,4,1,0,0,Low
247,2,4,4,1,0,0,Low
248,3,4,4,1,0,0,Low
249,4,4,4,1,0,0,Low
250,0,0,0,2,0,0,Low
251,1,0,0,2,0,0,Low
252,2,0,0,2,0,0,Low
253,3,0,0,2,0,0,Low
254,4,0,0,2,0,0,Low
255,0,1,0,2,0,0,Low
256,1,1,0,2,0,0,Low
257,2,1,0,2,0,0,Low
258,3,1,0,2,0,0,Low
259,4,1,0,2,0,0,Low
260,0,2,0,2,0,0,Low
261,1,2,0,2,0,0,Low
262,2,2,0,2,0,0,Low
263,3,2,0,2,0,0,Low
264,4,2,0,2,0,0,Low
265,0,3,0,2,0,0,Low
266,1,3,0,2,0,0,Low
267,2,3,0,2,0,0,Low
268,3,3,0,2,0,0,Low
269,4,3,0,2,0,0,Low
270,0,4,0,2,0,0,Low
271,1,4,0,2,0,0,Low
272,2,4,0,2,0,0,Low
273,3,4,0,2,0,0,Low
274,4,4,0,2,0,0,Low
275,0,0,1,2,0,0,Low
276,1,0,1,2,0,0,Low
277,2,0,1,2,0,0,Low
278,3,0,1,2,0,0,Low
279,4,0,1,2,0,0,Low
280,0,1,1,2,0,0,Low
281,1,1,1,2,0,0,Low
282,2,1,1,2,0,0,Low
283,3,1,1,2,0,0,Low
284,4,1,1,2,0,0,Low
285,0,2,1,2,0,0,Low
286,1,2,1,2,0,0,Low
287,2,2,1,2,0,0,Low
288,3,2,1,2,0,0,Low
289,4,2,1,2,0,0,Low
